B_med_011
Frequency	T20 [s]	T30 [s]	EDT [s]
50 Hz	1,57	4,42	0,63
63 Hz	0,9	2,68	2,44
80 Hz	1,1	1,9	0,68
100 Hz	1,31	1,41	1,2
125 Hz	1	1,08	0,83
160 Hz	1,04	1,05	1,31
200 Hz	1,4	1,35	1,14
250 Hz	0,93	1,01	1,04
315 Hz	1,49	1,42	3,99
400 Hz	1,52	1,47	1,3
500 Hz	1,58	1,43	1,33
630 Hz	1,76	1,63	1,79
800 Hz	1,42	1,49	1,72
1 kHz	1,58	1,5	1,26
1,25 kHz	1,45	1,45	1,74
1,6 kHz	1,44	1,48	1,45
2 kHz	1,34	1,38	1,4
2,5 kHz	1,19	1,22	1,32
3,15 kHz	1,1	1,11	1,27
4 kHz	1,18	1,21	1,42
5 kHz	1,2	1,2	1,22
6,3 kHz	1,16	1,14	1,18
8 kHz	1,02	1,03	0,99
10 kHz	0,86	0,85	0,78
