B_med_001
Frequency	T20 [s]	T30 [s]	EDT [s]
50 Hz	1,29	1,29	1,09
63 Hz	1,64	1,64	0,59
80 Hz	1,06	1,17	0,98
100 Hz	1,1	1,18	0,94
125 Hz	1,34	1,37	0,9
160 Hz	0,73	0,92	1,49
200 Hz	0,83	0,86	0,96
250 Hz	0,89	0,88	1,43
315 Hz	1,47	1,3	1,82
400 Hz	1,4	1,53	2,12
500 Hz	1,63	1,66	1,98
630 Hz	1,73	1,73	1,85
800 Hz	1,84	1,79	1,83
1 kHz	1,75	1,71	1,77
1,25 kHz	1,7	1,78	2,02
1,6 kHz	1,73	1,72	2,02
2 kHz	1,73	1,7	1,66
2,5 kHz	1,49	1,54	1,42
3,15 kHz	1,36	1,36	1,49
4 kHz	1,48	1,49	1,45
5 kHz	1,45	1,46	1,44
6,3 kHz	1,39	1,42	1,33
8 kHz	1,23	1,25	1,21
10 kHz	0,92	0,94	0,96
