B_med_006
Frequency	T20 [s]	T30 [s]	EDT [s]
50 Hz	0,96	7,61	0,8
63 Hz	1,64	1,39	1,15
80 Hz	1,21	1,3	1,21
100 Hz	1,12	1,19	1
125 Hz	1,25	1,25	1,28
160 Hz	0,8	0,82	0,62
200 Hz	1,11	0,87	0,84
250 Hz	0,79	0,76	0,85
315 Hz	1,45	1,39	1,27
400 Hz	1,44	1,58	1,5
500 Hz	1,52	1,57	1,34
630 Hz	1,67	1,64	2,03
800 Hz	1,57	1,62	1,42
1 kHz	1,46	1,48	1,32
1,25 kHz	1,54	1,52	1,51
1,6 kHz	1,41	1,44	1,77
2 kHz	1,46	1,42	1,5
2,5 kHz	1,27	1,25	1,41
3,15 kHz	1,28	1,22	1,03
4 kHz	1,26	1,23	1,29
5 kHz	1,21	1,23	1,22
6,3 kHz	1,13	1,14	1,06
8 kHz	1,03	1,11	1,04
10 kHz	0,81	0,96	0,9
