B_med_008
Frequency	T20 [s]	T30 [s]	EDT [s]
50 Hz	1,4	1,4	3,61
63 Hz	0,79	4,39	1,31
80 Hz	1,17	1,26	1,12
100 Hz	1,07	1,11	1,71
125 Hz	1,16	1,14	1,18
160 Hz	0,76	0,78	0,69
200 Hz	0,79	0,91	0,46
250 Hz	1,32	1,15	0,82
315 Hz	1,33	1,34	0,85
400 Hz	1,19	1,33	1,29
500 Hz	1,62	1,61	1,58
630 Hz	1,68	1,64	1,29
800 Hz	1,44	1,55	1,28
1 kHz	1,61	1,55	1,46
1,25 kHz	1,37	1,44	1,72
1,6 kHz	1,49	1,49	1,65
2 kHz	1,46	1,45	1,25
2,5 kHz	1,27	1,27	1,26
3,15 kHz	1,22	1,19	1,21
4 kHz	1,28	1,28	1,19
5 kHz	1,28	1,24	1,24
6,3 kHz	1,09	1,15	1,08
8 kHz	1,06	1,07	0,99
10 kHz	0,81	0,83	0,78
