B_med_009
Frequency	T20 [s]	T30 [s]	EDT [s]
50 Hz	1,04	1,04	1,38
63 Hz	1,16	1,16	1,09
80 Hz	1	1,2	1,21
100 Hz	1,04	1,06	1,21
125 Hz	1,14	1,12	1,28
160 Hz	0,96	1,05	1,11
200 Hz	0,94	0,9	0,96
250 Hz	1,07	1,09	1,38
315 Hz	1,4	1,37	1,13
400 Hz	1,25	1,33	1,6
500 Hz	1,47	1,58	1,89
630 Hz	1,74	1,7	1,72
800 Hz	1,6	1,53	1,27
1 kHz	1,49	1,44	1,52
1,25 kHz	1,53	1,56	1,49
1,6 kHz	1,51	1,5	1,61
2 kHz	1,34	1,39	1,54
2,5 kHz	1,26	1,25	1,43
3,15 kHz	1,16	1,17	1,13
4 kHz	1,29	1,25	1,21
5 kHz	1,25	1,23	1,17
6,3 kHz	1,19	1,16	1,03
8 kHz	1,03	1,04	0,92
10 kHz	0,83	0,83	0,79
