B_med_010
Frequency	T20 [s]	T30 [s]	EDT [s]
50 Hz	1,31	1,31	1,62
63 Hz	1,47	1,47	0,88
80 Hz	0,98	0,99	1,65
100 Hz	1,15	1,18	1,22
125 Hz	1,06	1,13	2,45
160 Hz	0,88	0,83	1,02
200 Hz	1,32	1,19	0,47
250 Hz	0,86	0,96	0,9
315 Hz	1,46	1,41	1,64
400 Hz	1,52	1,48	1,64
500 Hz	1,69	1,62	1,66
630 Hz	1,62	1,62	1,52
800 Hz	1,63	1,57	1,46
1 kHz	1,41	1,48	1,42
1,25 kHz	1,52	1,56	1,72
1,6 kHz	1,62	1,53	1,33
2 kHz	1,48	1,4	1,57
2,5 kHz	1,25	1,24	1,49
3,15 kHz	1,21	1,17	1,33
4 kHz	1,25	1,24	1,26
5 kHz	1,22	1,23	1,27
6,3 kHz	1,2	1,15	1,21
8 kHz	1,08	1,04	1,05
10 kHz	0,83	0,83	0,82
