B_med_005
Frequency	T20 [s]	T30 [s]	EDT [s]
50 Hz	NaN (Não é um número)	NaN (Não é um número)	1,32
63 Hz	NaN (Não é um número)	NaN (Não é um número)	0,5
80 Hz	1,06	1,06	0,79
100 Hz	2,2	2,2	1,22
125 Hz	1,7	1,7	1,29
160 Hz	0,69	1,05	0,77
200 Hz	1,03	0,96	1,33
250 Hz	0,96	0,93	0,87
315 Hz	1,41	1,35	1,7
400 Hz	1,45	1,55	1,58
500 Hz	1,59	1,63	1,36
630 Hz	1,58	1,67	1,58
800 Hz	1,63	1,6	1,5
1 kHz	1,58	1,55	1,63
1,25 kHz	1,48	1,53	1,39
1,6 kHz	1,47	1,49	1,66
2 kHz	1,46	1,44	1,23
2,5 kHz	1,21	1,3	1,44
3,15 kHz	1,18	1,19	1,2
4 kHz	1,24	1,28	1,3
5 kHz	1,23	1,25	1,3
6,3 kHz	1,19	1,16	0,99
8 kHz	1,07	1,09	1,11
10 kHz	0,81	0,86	0,99
