B_med_004
Frequency	T20 [s]	T30 [s]	EDT [s]
50 Hz	NaN (Não é um número)	NaN (Não é um número)	0,87
63 Hz	NaN (Não é um número)	NaN (Não é um número)	1,62
80 Hz	0,94	0,94	1,15
100 Hz	0,92	0,92	1,74
125 Hz	1,38	1,38	0,79
160 Hz	0,74	0,74	1,07
200 Hz	0,91	0,91	0,7
250 Hz	0,97	0,97	1,13
315 Hz	1,51	1,51	1,44
400 Hz	1,52	1,52	2
500 Hz	1,6	1,6	1,17
630 Hz	1,72	1,72	1,77
800 Hz	1,75	1,82	1,74
1 kHz	1,39	1,39	1,9
1,25 kHz	1,45	1,45	1,64
1,6 kHz	1,46	1,59	1,95
2 kHz	1,34	1,42	1,48
2,5 kHz	1,22	1,28	1,24
3,15 kHz	1,19	1,16	1,12
4 kHz	1,27	1,25	1,24
5 kHz	1,14	1,19	1,29
6,3 kHz	1,12	1,15	1,12
8 kHz	1,04	1,06	1,05
10 kHz	0,82	0,85	0,88
