B_med_007
Frequency	T20 [s]	T30 [s]	EDT [s]
50 Hz	1,13	1,13	1,33
63 Hz	1,27	1,27	0,76
80 Hz	1,02	1,08	0,96
100 Hz	1,05	1,09	1,04
125 Hz	1,13	1,13	1,17
160 Hz	1	1,04	8,02
200 Hz	0,77	0,78	1,6
250 Hz	1,19	1,13	0,9
315 Hz	1,23	1,21	1,34
400 Hz	1,28	1,24	1,81
500 Hz	1,34	1,43	1,7
630 Hz	1,58	1,62	1,54
800 Hz	1,58	1,54	1,62
1 kHz	1,51	1,47	1,72
1,25 kHz	1,5	1,51	1,51
1,6 kHz	1,45	1,48	1,64
2 kHz	1,36	1,36	1,44
2,5 kHz	1,26	1,24	1,28
3,15 kHz	1,19	1,18	1,14
4 kHz	1,25	1,24	1,22
5 kHz	1,24	1,23	1,23
6,3 kHz	1,2	1,16	1,14
8 kHz	1,02	1,02	1,01
10 kHz	0,82	0,83	0,8
